id,wer,pred_transcription,time
2961-961-0000,0.2205029013539652, socrates begins the timaeus with a summary of the republic and now he desires to see the ideal state set in motion he would like to know how she behaved in some great struggle and therefore to you i turn timaeus citizen of locris who are at once a philosopher and a statesman and to you critias whom all athenians know to be similarly accomplished and to hermocrates who is also fitted by nature and education to share in our discourse i will if timaeus approves i approve listen then socrates to a tale of solens who being the friend of tropides my great-grandfather told it to my grandfather critias and he told me some poems of solen were recited by the boys and what was the subject of the poem said the person who made the remark the subject was a very noble one he described the most famous action in which the athenian people were ever engaged but the memory of their exploits had passed away owing to the lapse of time and the extinction of the actors tell us said the other the whole story and where solon heard the story but in egypt the traditions of our own and other lands are by us registered forever in our temples the genealogies which you have recited to us out of your own annals are a mere children's story for in the times before the great flood athens was the greatest and best of cities and did the noblest deeds and had the best constitution of any under the face of heaven sullen marveled and desired to be informed of the particulars nine thousand years have elapsed since she founded yours and eight thousand since she founded ours as our annals record many laws exist among us which are the counterpart of yours as they were in the olden time i will briefly describe them to you and you shall read the account of them at your leisure in the sacred registers observe again what care the law took in the pursuit of wisdom searching out the deep things of the world and applying them to the use of men the most famous of them all was the overthrow of the island of atlantis for at the peril of her own existence and when the other hellenes had deserted her she repelled the invader and of her own accord gave liberty to all the nations within the pillars this is the explanation of the shallows which are found in that part of the atlantic ocean but i would not speak at the time because i wanted to refresh my memory then now let me explain to you the order of our entertainment first timaeus who is a natural philosopher will speak of the origin of the world going down to the creation of men and then i shall receive the man whom he has created and some of whom will have been educated by you and introduced them to you as the lost athenian citizens of whom the egyptian records spoke,4.024658203125
4970-29093-0000,0.11166666666666666," you'll never dig it out of the astor library to the young american here or elsewhere the paths to fortune are innumerable and all open there is invitation in the air and success in all his wide horizon he has no traditions to bind him or guide him and his impulse is to break away from the occupation his father has followed and make a new way for himself the modest fellow would have liked fame thrust upon him for some worthy achievement it might be for a book or for the skillful management of some great newspaper or for some daring expedition like that of lieutenant strain or dr kane he was unable to decide exactly what it should be sometimes he thought he would like to stand in a conspicuous pulpit and humbly preach the gospel of repentance and it even crossed his mind that it would be noble to give himself to a missionary life to some benighted region where the date palm grows and the nightingale's voice is in tune and the bulbul sings on the off-nights law seemed to him well enough as a science but he never could discover a practical case where it appeared to him worth while to go to law and all the clients who stopped with this new clerk in the anteroom of the law office where he was writing philip invariably advised to settle no matter how, but settle, greatly to the disgust of his employer, who knew that justice between man and man could only be attained by the recognized processes with the attendant fees. It is such a noble ambition that it is a pity it has usually such a shallow foundation. He wanted to begin at the top of the ladder. Philip, therefore, read diligently in the Astor Library, planned literary works that should compel attention, and nursed his genius. He had no friend wise enough to tell him to step into the dorking convention, then in session, make a sketch of the men and women on the platform, and take it to the editor of the Daily Grapevine, and see what he could get a line for it. Oh, very well, said Gringo, turning away with a shade of contempt. You'll find, if you are going into literature and newspaper work, that— You can't afford a conscience like that. But Philip did afford it, and he wrote, thanking his friends and declining because he said the political scheme would fail and ought to fail. And he went back to his books and to his waiting for an opening large enough for a signified entrance into the literary world. Well, I'm going as an engineer. You could go as one. You can begin by carrying a rod and putting down the figures. No, it's not too soon. I'd been ready to go anywhere for six months. The two young men, who were by this time full of the adventure, went down to the Wall Street office of Henry's uncle and had a talk with that wily operator. The night was spent in packing up and writing letters, for Philip would not take such an important step without informing his friends. Why, it's in Missouri somewhere, on the frontier, I think. We'll get a map. I was afraid it was nearer home. he knew his uncle would be glad to hear that he had at last turned his thoughts to a practical matter he well knew the perils of the frontier the savage state of society the lurking indians and the dangers of fever",4.77354621887207
6930-76324-0001,0.18055555555555555," they were certainly no near the solution of their problem the poor little things cried cynthia think of them having been turned to the wall all these years now what is the sense of it two innocent babies like that but joyce had not been listening all at once she put down her candle on the table and faced her companion The twin brother did something she didn't like, and she turned his picture to the wall. Hers happened to be on the same frame, too, but she evidently didn't care about it. Now, what have you to say, Cynthia Sprague? I thought we were stumped again when I first saw that picture, but it's been of some use after all. Do you suppose the miniature was a copy of the same thing? What in the world is it? queried Joyce. They worry me terribly, and besides, I'd like to see what this lovely furniture looks like without such quantities of dust all over it. Good scheme, Sin. We'll come in here this afternoon with old clothes on and have a regular house cleaning. It can't hurt anything, I'm sure, for we won't disturb things at all. This thought, however, did not enter the heads of the enthusiastic pair. smuggling the house-cleaning paraphernalia into the cellar window unobserved that afternoon proved no easy task for cynthia had added a whisked broom and dustpan to the outfit the lure proved too much for him and he came sporting after it as friskly as a young kitten much to cynthia's delight when she caught sight of him Oh, let him come along, she urged. I do love to see him about that old house. He makes it sort of cozier. Now let's dust the furniture and pictures. yet little as it was it had already made a vast difference in the aspect of the room surface dust at least had been removed and the fine old furniture gave a hint of its real elegance and polish then she suddenly remarked and my pocket money is getting low again and you haven't any left as usual they say illumination by candlelight is the prettiest in the world why it's goliath as usual they both cried peering in the greatest for getting into odd corners. Forgetting all their weariness, they seize their candles and scurry through the house, finding on occasional paper tucked away in some odd corner. Well, I'm convinced that the boarded up house mystery happened not earlier than April 16th, 1861 and probably not much later.",3.6107656955718994
7729-102255-0000,0.24118207816968543," the bogus legislature numbered thirty-six members this was at the march election eighteen fifty five that summer's immigration however being mainly from the free states greatly changed the relative strengths of the two parties while on extraordinary occasions the two thousand border ruffian reserve lying a little farther back from the state line could at any time easily turn the scale the free state men had only their convictions their intelligence their courage and the moral support of the north the conspiracy had its secret combination the territorial officials the legislature the bogus laws the courts the militia officers the president and the army this was a formidable array of advantages slavery was playing with loaded dice coming by way of the missouri river towns he fell first among border ruffian companionship and influences and perhaps having his inclinations already molded by his washington instructions his early impressions were decidedly adverse to the free state cause His reception speech at Westport, in which he maintained the legality of the legislature, and his determination to enforce their laws, delighted his pro-slavery auditors. All the territorial dignitaries were present. Governor Shannon presided. John Calhoun, the Surveyor General, made the principal speech a denunciation of the abolitionists supporting the Topeka movement. chief justice le conf dignified the occasion with approving remarks all dissent all non-compliance all hesitation all mere silence even were in their stronghold towns like leavenworth branded as abolitionism declared to be hostility to the public welfare and punished with proscription personal violence expulsion and frequently death of the lynchings the mobs and the murders it would be impossible except in a very extended work to note the frequent and atrocious details the present chapters can only touch upon the more salient movements of the civil war in kansas which happily are not sanguinary if however the individual and more isolated cases of bloodshed could be described they would show a startling aggregate of barbarity and a loss of life for opinion's sake several hundred free-state men promptly responded to the summons it was in fact the best weapon of its day the leaders of the conspiracy became distrustful of their power to crush the town one of his militia generals suggested that the governor should require the outlaws at lawrence and elsewhere to surrender the sharps rifles another wrote asking him to call out the government troops at fort leavenworth the governor on his part becoming doubtful of the legality of employing missouri militia to enforce kansas laws was also eager to secure the help of federal troops sheriff jones had his pockets always full of writs issued in the spirit of persecution but was often baffled by the sharp wits and ready resources of the free state people and sometimes defied outright little by little however the latter became hemmed and bound in the meshes of the various devices and proceedings which the territorial officials evolved from the bogus laws to embarrass this damaging exposure judge le comte issued a writ against the ex-governor on a frivolous charge of contempt the incident was not violent nor even dramatic no posse was summoned no further effort made and reader fearing personal violence soon fled in disguise but the affair was magnified as a crowning proof that the free-state men were insurrectionists and outlaws from these again sprang barricaded and fortified dwellings camps and scout parties finally culminating in roving guerrilla bands half partisan half predatory their distinctive characters however display one broad and unfailing difference the free-state men clung to their prairie towns and prairie ravines with all the obstinacy and courage of true defenders of their homes and firesides their assumed character changed with their changing opportunities or necessities in the shooting of sheriff jones in lawrence and in the refusal of ex-governor reader to allow the deputy marshal to arrest him they discovered grave offenses against the territorial and the united states laws private persons who had leased the free state hotel vainly besought the various authorities to present the destruction of their property ten days were consumed in these negotiations but the spirit of vengeance refused to yield he summoned half a dozen citizens to join his posse who followed obeyed and assisted him he continued his pretended search and to give color to his errand, made two arrests. The Free State Hotel, a stone building in dimensions 50 by 70 feet, three stories high and handsomely furnished, previously occupied only for lodging rooms, on that day for the first time opened its table accommodations to the public and provided a free dinner in honor of the occasion. As he had promised to protect the hotel, the reassured citizens began to laugh at their own fears to their sorrow they were soon undeceived the military force partly rabble partly organized had meanwhile moved into the town he planted a company before the hotel and demanded a surrender of the arms belonging to the free state military companies half an hour later turning a deaf ear to all remonstrance He gave the proprietors until five o'clock to remove their families and personal property from the Free State Hotel. Atchison, who had been haranguing the mob, planted his two guns before the building and trained them upon it. The inmates being removed, at the appointed hour a few cannonballs were fired through the stone walls. In this incident, contrasting the creative and the destructive spirit of the factions, the immigrant aid society of massachusetts finds its most honorable and triumphant vindication the whole proceeding was so childish the miserable plot so transparent the outrage so gross as to bring disgust to the better class of border ruffians who were witnesses and accessories captain martin said i shall give you a pistol to help protect yourself if worst comes to worst in the early morning of the next day may twenty nine a company of dragoons with one empty saddle came down from the fort and while the proslavery men still slept the prisoner and his escort were on their way across the prairies to lecompton in the charge of officers of the united states army",9.543177127838135
5105-28240-0000,0.11965811965811966," Fast as his legs could carry him, Servadak had made his way to the top of the cliff. It was quite true that a vessel was in sight, hardly more than six miles from the shore, but owing to the increase in the earth's convexity, and the consequent limitation of the range of vision, the rigging of the top masts alone was visible above the water, exclaimed Servadak, keeping his eye unmoved at his telescope. She is under sail, but she is Count Timoshef's yacht. he was right if the count were on board a strange fatality was bringing him to the presence of his rival he reckoned therefore not only upon ascertaining the extent of the late catastrophe but upon learning its cause the wind being adverse the dobrina did not make very rapid progress but as the weather in spite of a few clouds remained calm and the sea was quite smooth she was enabled to hold a steady course Cervidac took it for granted that the Dobrina was endeavoring to put in. A narrow channel formed a passage through the ridge of rocks that protected it from the open sea, and which, even in the roughest weather, would ensure the calmness of its waters. Slightly changing her course, she first struck her mainsail, and in order to facilitate the movements of her helmsman, soon carried nothing but her two topsails, Brigantine and Jib. Captain Servidac hastened toward him. I left you on a continent, and here I have the honor of finding you on an island. Nothing more than you know yourself. Are you certain that this is the Mediterranean? For some moments he seemed perfectly stupefied. And then, recovering himself, he began to overwhelm the Count with a torrent of questions. To all these inquiries the Count responded in the affirmative. Some mysterious force seemed to have brought about a convulsion of the elements. You will take me on board, Count, will you not? My yacht is at your service, sir, even should you require to make a tour around the world. The Count shook his head. Before starting, it was indispensable that the engine of the Dobrina should be repaired. To sail under canvas only would, in contrary winds and rough seas, be both tedious and difficult. it was on the last day of january that the repairs of the schooner were completed a slight diminution in the excessively high temperature which had prevailed for the last few weeks was the only apparent change in the general order of things but whether this was to be attributed to any alteration in the earth's orbit was a question which would still require several days to decide doubts now arose and some discussion followed whether or not it was desirable for Ben Zuth to accompany his master.",3.6141517162323
1995-1826-0000,0.26737967914438504," in the debate between the senior societies her defense of the fifteenth amendment had been not only a notable bit of reasoning but delivered with real enthusiasm the south she had not thought of seriously and yet knowing of its delightful hospitality and mild climate she was not averse to charleston or new orleans john taylor who had supported her through college was interested in cotton better go he had counseled sententiously Might learn something useful down there. But, John, there's no society, just elementary work. Been looking up Tombs County. Find some Cresswells there. Big plantations, rated at $250,000. Some others, too. Big Cotton County. You ought to know, John. If I teach Negroes, I'll scarcely see much of people in my own class. At any rate, I say go. Here she was teaching dirty children, and the smell of confused odors and bodily perspiration was, to her, at times unbearable. She wanted a glance of the new books and periodicals and talk of great philanthropies and reforms. So for the hundredth time she was thinking today, as she walked alone up the lane back of the barn and then slowly down through the bottoms. Cotton! She paused. she had almost forgotten that it was here within touch and sight the glimmering sea of delicate leaves whispered and murmured before her stretching away to the northward there might be a bit of poetry here and there but most of this place was such desperate prose her regard shifted to the green stalks and leaves again and she started to move away cotton is a wonderful thing is it not boys she said rather primly miss taylor did not know much about cotton but at least one more remark seemed called for don't know well of all things inwardly commented miss taylor literally born in cotton and oh well as much as to ask what's the use she turned again to go i suppose though it's too early for them then came the explosion goobas don't grow on the tops of vines but on the ground on the roots like yams is that so the golden fleece It's the silver fleece, he hearkened. Sometime you'll tell me, please, won't you?",3.2921578884124756
8555-292519-0000,0.26573426573426573," Brighter than early dawn's most brilliant dye are blown clear bands of color through the sky, that swirl and sweep and meet, to break and foam like rainbow veils upon a bubble's dome. Guided by you, how we might stroll towards death, our only music one another's breath. through gardens intimate with hollyhocks where silent poppies burn between the rocks by pools where birches bend to confidants above green waters scummed with lily plants venice in a sunset glowing of crimson and gold she lies the glory of the world a beached king's galley whose sails are furled who is hung with tapestries rich and old the pity that we must come and go while the old gold and the marble stays forever gleaming its soft strong blaze calm in the early evening glow the pleasant graveyard of my soul with sentimental cypress trees and flowers is filled that i may stroll in meditation at my ease it is my heart hung in the sky and no clouds ever float between the grave-flowers and my heart on high over the track-lined city street the young man the grinning man pass ho ye sails that seem to wander in dream-filled meadows say is the shore where i stand the only field of struggle or are ye hit and battered out there by waves and wind-gusts as ye tack over a clashing sea of watery echoes old dances are simplified of their yearning bleached by time he had got into her courtyard through the black night rain he sang to her window bars that was but rustling of dripping plants in the dark she was alone that night he had broken into her courtyard",2.2648227214813232
260-123286-0000,0.14479638009049775," Saturday, August 15. The sea unbroken all round. No land in sight. The horizon seems extremely distant. All my danger and sufferings were needed to strike a spark of human feeling out of him. But now that I am well, his nature has resumed its sway. You seem anxious, my uncle, I said, seeing him continually with his glass to his eye. Anxious? One might be. with less reason than now. I am not complaining that the rate is slow, but that the sea is so wide. We are losing time, and the fact is, I have not come all this way to take a little sail upon a pond on a raft. He called this sea a pond, and I long voyage taking a little sail. Therefore, don't talk to me about views and prospects. I take this as my answer, and I leave the professor to bite his lips with impatience. sunday august sixteenth nothing new weather unchanged the wind freshens but there seemed no reason of fear the shadow of the raft was clearly outlined upon the surface of the waves truly the sea is of infinite width it must be as wide as the mediterranean or the atlantic and why not these thoughts agitated me all day and my imagination scarcely calmed down after several hours sleep I shudder as I recall these monsters to my remembrance. I saw at the Hamburg Museum the skeleton of one of these creatures, thirty feet in length. I suppose Professor Liedenbrock was of my opinion too, and even shared my fears. For after having examined the pig, his eyes traversed the ocean from side to side. Tuesday, August 18th. During his watch, I slept. Two hours afterwards, a terrible shock awoke me. The raft was heaved up on a watery mountain and pitched down again at a distance of twenty fathoms. There's a whale, a whale, cried the professor. Flight was out of the question now. The reptiles rose. They wheeled around our little raft with a rapidity greater than that of express trains. Two monsters only were creating all this commotion, and before my eyes are two reptiles of the primitive world. I can distinguish the eye of the ichthyosaurus, glowing like a red-hot coal and as large as a man's head. Its jaw is enormous, and according to naturalists, it is armed with no less than 182 teeth. Those huge creatures attacked each other with the greatest animosity. Suddenly, the ichthyosaurus and the plesiosaurus disappear below, leaving a whirlpool eddying in the water. As for the ichthyosaurus... Has he returned to his submarine cavern?",3.9732656478881836
61-70970-0000,0.160828025477707," young fitzuth had been commanded to his mother's chamber so soon as he had come out from his converse with the squire there befell an anxious interview mistress fitzuth arguing for and against the squire's project in a breath But take it whilst I live, and wear Montfichet's shield in the days when my eyes can be rejoiced by so brave a sight, for you will ne'er disgrace our dutch, and I warrant me. The lad had checked him then. Never that, sir, he had said. He was in deep converse with the clerk, and entered the hall holding him by the arm. Now to bed, boy. Tis late, and I go myself within a short space. As any in England, I would say, said Gamewell proudly. that is, in his day. Yet he will teach you a few tricks when morning is come. There was no chance to alter his sleeping-room to one nearer to Gamewell's chamber. Presently he crossed the floor of his room with decided step. Will, cried he softly, and Stutley, who had chosen his couch across the door of his young master's chamber, sprang up at once in answer. We will go out together to the bower. There's a way down to the court from my window. Rest and be still until I warn you. The hours passed wearily by, and movement could yet be heard about the hall. At last all was quiet and black in the courtyard of Gamewell. Will, whispered Robin, opening his door as he spoke, are you ready? They then renewed their journey, and, under the better light, made a safe crossing of the stable roofs. Robin entered the hut, dragging the unwilling esquire after him. be not so foolish friend said fitzuth crossly they moved thereafter cautiously about the hut groping before and about them to find something to show that the warrenton had fulfilled his mission they were upon the verge of an open trap in the far corner of the hut and stutley had tripped over the edge of the reversed flap mouth of this pit fitzuth's hand rested at last upon the top rung of a ladder and slowly the truth came to him robin carefully descended the ladder and found himself soon upon firm rocky ground Stutley was by his side in a flash, and then they both began feeling about them to ascertain the shape and character of this vault. From the blackness behind the light they heard a voice, Warrington's. Save me, masters, but you startled me rarely, cried he, waving the lanthorn before him to make sure that these were no ghosts in front of him, inquired Robin, with his suspicion still upon him. Truly such a horse would be worth much in nodding him fair. Nay, nay, lording, answered Warrington with a half-laugh. Warrington spoke thus with significance, to show Robin that he was not to think Jeffrey's claims to the estate would be passed by. Robin Fitzuth saw that his doubts of Warrington had been unfair, and he became ashamed of himself for harboring them. His tones rang pleasantly on Warrington's ears, and forthwith a good fellowship was heralded between them. the old servant told him quietly as they crept back to gainwell that this passageway led from the hut in the pleasance to sherwood and that geoffrey for the time was hiding with the outlaws in the forest he implores us to be discreet as the grave in this matter for in sooth his life is in the hollow of our hands they regain their apartment apparently without disturbing the household of gainwell",4.91813588142395
6930-75918-0000,0.2045929018789144," concord returned to its place amidst the tents the english forwarded to the french baskets of flowers of which they had made a plentiful provision to greet the arrival of the young princess the french in return invited the english to a supper which was to be given the next day congratulations were poured in upon the princess everywhere during her journey from the respect paid her on all sides she seemed like a queen and from the adoration with which she was treated by two or three she appeared an object of worship the queen-mother gave the french the most affectionate reception france was her native country and she had suffered too much unhappiness in england for england to have made her forget france She taught her daughter, then, by her own affection for it, that love for a country where they had both been hospitably received and where a brilliant future opened for them. The Count had thrown himself back on his seat, leaning his shoulders against the partition of the tent, and remained thus, his face buried in his hands, with heaving chest and restless limbs. this has indeed been a harassing day continued the young man his eyes fixed upon his friend you will be frank with me i always am can you imagine why buckingham has been so violent i suspect it is you who are mistaken rowell i have read his distress in his eyes in his every gesture and action the whole day i can perceive love clearly enough i am convinced of what i say said the count it is annoyance then in those very terms i even added more but continued raoul not interrupted by this movement of his friend heaven be praised the french who are pronounced to be thoughtless and indiscreet reckless even are capable of bringing a calm and sound judgment to bear on matters of such high importance Thus, it is that the honor of three is saved, our country, our masters, and our own. Yes, I need repose. Many things have agitated me today, both in mind and body. When you return tomorrow, I shall no longer be the same man. But in this friendly pressure, Raoul could detect the nervous agitation of a great internal conflict. the night was clear starlit and splendid the tempest had passed away and the sweet influences of the evening had restored life peace and security everywhere upon the large square in front of the hotel the shadows of the tents intersected by the golden moonbeams formed as it were a huge mosaic of jet and yellow flagstones bragelon watched for some time the conduct of the two lovers listen to the loud and uncivil slumbers of manekamp who snored as imperiously as though he was wearing his blue and gold instead of his violet suit",3.3689215183258057
